Geographic area,gwarea_tot,gwsum_bestdeaths,peaceyears,peaceyearshigh,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Internally displaced persons (IDPs),"International migrants, by country of destination",New internal displacements,"Refugees, by country of asylum","Refugees, by country of origin",coordinates,Latitude,Longitude
Afghanistan,50734677284.406105,340474467.37808305,1578315.5048520712,1857572.1429585798,92428.0,1848.0,94276,40124.0,5796.0,69608.0,9772.0,15680000.0,292.0,2740900.0,29356.0,2609461.0,"(33.9391, 67.71)",39.5061,20.0
Albania,8013004.28223912,2580.401498595067,910.0,910.0,28.0,0.0,28,0.0,0.0,28.0,0.0,10200.0,171.0,9482.6,2676.0,20847.0,"(41.1533, 20.1683)",50.9365,2.0
Algeria,6778217647.781131,1441370.6187948799,82442.38153846154,96021.72923076923,6160.0,19628.0,25788,18004.0,1064.0,6216.0,896.0,2698.1,332.0,26556.6,99107.0,7703.0,"(28.0339, 1.6596)",35.9444187,-5.7946088
Angola,85629771.44242048,20323.2044957852,1097.1294674556214,1453.570650887574,28.0,84.0,112,0.0,56.0,0.0,56.0,4870.0,367.0,264810.0,13578.0,11751.0,"(-11.2027, 17.8739)",29.33505865,-100.940823
Bangladesh,384964244.96143985,126896.05994380268,9412.373964497041,15670.920710059172,2240.0,3640.0,5880,18564.0,28.0,1400.0,56.0,2300000.0,1857.0,6014000.0,505300.0,23927.0,"(23.685, 90.3563)",25.1841,89.0
Belize,7863386.35255162,2580.401498595067,602.0,602.0,28.0,0.0,28,0.0,0.0,28.0,0.0,270.0,45.0,5514.0,145.0,45.0,"(17.1899, -88.4976)",26.144549817,-98.332108083
Benin,9357136.233410995,2580.401498595067,910.0,910.0,28.0,0.0,28,0.0,0.0,28.0,0.0,11700.0,440.0,278780.0,547.0,816.0,"(9.3077, 2.3158)",19.346569,5.749886
Brazil,1057689414.4073144,21730.81049016547,6370.0,6370.0,196.0,0.0,196,0.0,28.0,140.0,28.0,29260.0,576.0,964600.0,331562.0,1195.0,"(-14.235, -51.9253)",27.4531416,-99.6146319
Burkina Faso,47316475.58989398,10441.605994380268,1624.0,3640.0,112.0,28.0,140,1148.0,0.0,140.0,0.0,2626860.0,1525.0,1245420.0,21261.0,15494.0,"(12.2383, -1.5616)",35.268595,-2.93723899
Burundi,15990742.59963449,22028.802997190134,825.8560946745563,1000.6381065088757,224.0,0.0,224,3024.0,56.0,84.0,28.0,570000.0,492.0,165770.0,46139.0,165799.0,"(-3.3731, 29.9189)",-2.497341985,30.66887752
Cameroon,210651449.18962893,87953.62098033095,6572.110295857989,6672.274082840237,560.0,84.0,644,1932.0,28.0,504.0,28.0,2570000.0,729.0,744010.0,263500.0,74457.0,"(7.3697, 12.3547)",35.844745,-5.356311
Central African Republic,17712811.959973495,10586.401498595067,462.745798816568,796.364023668639,112.0,0.0,112,0.0,0.0,0.0,0.0,3764000.0,204.0,2252400.0,6178.0,409813.0,"(6.6111, 20.9394)",35.4125,12.0
Chad,482671717.1545229,151153.2269747112,7404.560946745562,8782.381065088757,840.0,0.0,840,5460.0,0.0,644.0,28.0,1338000.0,636.0,725400.0,323495.0,5380.0,"(15.4542, 18.7322)",32.8622936,12.530664
China,1815686573.4972084,31607.416484545738,6382.400473372781,9853.750532544378,672.0,1036.0,1708,1596.0,308.0,140.0,0.0,310000.0,1011.0,21450000.0,168.0,161234.0,"(35.8617, 104.1954)",21.5928,107.0
Colombia,1167093444.988834,786781.665938183,24908.85301775148,29316.059644970414,1316.0,504.0,1820,140.0,336.0,980.0,168.0,22900000.0,987.0,2017000.0,747383.0,27981.0,"(4.5709, -74.2973)",18.3122676,-64.9290454
Comoros,136793417.42527488,46447.22697471121,4183.8560946745565,14068.638106508875,2156.0,3920.0,6076,3584.0,364.0,112.0,420.0,10000.0,19.0,19543.0,12.0,1900.0,"(-11.6455, 43.3333)",-11.8028,43.8519
Congo,64790177.92486748,14602.007492975335,1426.5467455621301,1893.8650887573965,7140.0,0.0,7140,1400.0,28.0,84.0,28.0,443900.0,607.0,156200.0,17232.0,13286.0,"(-0.228, 15.8277)",1.63236,31.0
Costa Rica,16789018.03713449,5160.802997190134,1820.0,1820.0,28.0,84.0,112,0.0,56.0,56.0,0.0,320.0,499.0,16278.0,30686.0,275.0,"(9.7489, -83.7534)",25.14497061,-77.698404
Cuba,1377039941.4530053,376738.6187948798,132860.0,132860.0,5404.0,10780.0,16184,14672.0,2436.0,6384.0,420.0,410.57,6.0,1440310.0,5.0,877.0,"(21.5218, -77.7812)",25.8709,-80.0
Dominican Republic,477418842.964583,147082.88541991884,51870.0,51870.0,1960.0,8960.0,10920,8960.0,1008.0,2744.0,28.0,3706.0,631.0,139100.0,114268.0,724.0,"(18.7357, -70.1627)",28.03281,-99.35521
Ecuador,964028878.7803266,215938.92288479552,74620.0,74620.0,3052.0,840.0,3892,3248.0,1036.0,1932.0,560.0,1124.0,765.0,115780.0,157240.0,1185.0,"(-1.8312, -78.1834)",31.6904,-106.425
Egypt,1174898716.0787277,212563.27193256322,17710.273136094675,40135.65727810651,3304.0,784.0,4088,9044.0,28.0,1596.0,308.0,29920.0,398.0,24061.5,111849.0,6437.0,"(26.8206, 30.8025)",39.274069,26.38825
El Salvador,1165205427.8260775,381899.42179207,53376.891834319526,54965.20331360947,6384.0,28.0,6412,4844.0,588.0,3528.0,252.0,16019.0,71.0,688778.0,39.0,17542.0,"(13.7942, -88.8965)",26.811203,-97.748199
Eritrea,297937490.09800786,109651.24196066188,6496.805680473373,14405.006390532544,1224.0,5760.0,6984,14472.0,264.0,888.0,240.0,29400.0,24.0,50.0,75.0,160051.0,"(15.1794, 39.7823)",50.9513,1.85869
Ethiopia,8091768460.921837,17893383.661567282,168134.7578698225,197883.4026035503,38500.0,6972.0,45472,79856.0,10668.0,21476.0,2212.0,9040000.0,1993.0,8481200.0,513226.0,49325.0,"(9.145, 40.4897)",20.2802,39.0
Gambia,91552471.3126507,30964.817983140805,6888.0,10920.0,252.0,560.0,812,10108.0,28.0,168.0,28.0,5600.0,368.0,123520.0,1692.0,10661.0,"(13.4432, -15.3101)",30.37566359,19.03639979
Georgia,14432512.334360039,5524.4751795192005,354.18224852071006,695.9550295857988,104.0,0.0,104,442.0,0.0,52.0,0.0,893000.0,116.0,891.0,6999.0,13353.0,"(42.3154, 43.3569)",40.740769379,23.256371965
Ghana,92112289.92978796,22083.211988760537,4144.0,7280.0,280.0,56.0,336,4368.0,56.0,112.0,28.0,12940.0,653.0,128070.0,2219.0,5037.0,"(7.9465, -1.0232)",26.239989,12.913084
Guatemala,3545990335.5711784,1042872.5694661256,133580.47810650888,143096.0378698225,13860.0,84.0,13944,19684.0,3052.0,9044.0,924.0,1029000.0,161.0,338095.0,176.0,11491.0,"(15.7835, -90.2308)",31.650259,-110.366453
Guinea,504782976.1138338,159473.66593818297,18015.20378698225,39450.00426035503,3360.0,1764.0,5124,13356.0,476.0,2716.0,392.0,2508.8,987.0,24508.8,698.0,35303.0,"(9.9456, -9.6966)",35.286196,-2.958993
Guyana,10873184.256848495,2609.401498595067,910.0,910.0,56.0,28.0,84,0.0,56.0,28.0,0.0,0.0,14.0,240.0,19647.0,248.0,"(4.8604, -58.9302)",5.98740941,-57.1435619
Honduras,3315053639.5181174,995236.1305026538,322140.0,322140.0,12152.0,252.0,12404,6720.0,1736.0,8484.0,1428.0,671000.0,160.0,424770.0,28.0,22592.0,"(15.2, -86.2419)",27.1511,-98.4532
India,727007523.2696819,367480.8179831408,6793.323550295859,7995.28899408284,672.0,0.0,672,560.0,112.0,448.0,112.0,3420000.0,2602.0,19710000.0,242835.0,1858.0,"(20.5937, 78.9629)",66.9299814,30.2313597
Indonesia,870423812.994417,164238.83296909148,6679.611360946746,7624.012781065088,5628.0,4956.0,10584,15820.0,1204.0,1064.0,140.0,488200.0,676.0,2517400.0,2505.0,11740.0,"(-0.7893, 113.9213)",4.66259,100.0
Iraq,806134844.8297923,4314937.082422729,24507.049704142013,28638.805917159763,3556.0,1316.0,4872,21784.0,728.0,1344.0,1624.0,14590000.0,404.0,2730390.0,121396.0,86278.0,"(33.2232, 43.6793)",41.79227,26.437847
Israel,7995798.72364537,9839.401498595067,506.4556213017752,595.887573964497,28.0,0.0,28,0.0,0.0,28.0,0.0,92.0,939.0,38656.0,452.0,900.0,"(31.0461, 34.8516)",49.78505023,29.370763
Jamaica,23275737.981482986,8155.204495785201,2730.0,2730.0,84.0,0.0,84,0.0,28.0,56.0,28.0,0.0,51.0,3154.31,31.0,1868.0,"(18.1096, -77.2975)",32.71043852,-114.723249
Kenya,34398429.29494699,12782.802997190134,1042.872899408284,1733.1820118343196,56.0,0.0,56,0.0,28.0,28.0,0.0,1782000.0,1632.0,1060100.0,269793.0,2509.0,"(-1.2921, 36.8219)",51.46378426,-0.157933543
Lebanon,30870712.716847107,22537.60599438027,1335.491597633136,1492.728047337278,336.0,252.0,588,1036.0,112.0,168.0,196.0,108816.0,2160.0,3148.0,446899.0,1842.0,"(33.8547, 35.8623)",37.471039,27.02218
